article_id,title,description,content,category,read_flag,like_flag,dislike_flag
1,"McDonald’s is investing $100 million to bring customers back after E. coli outbreak - The Associated Press","McDonald’s is investing $100 million to bring customers back to stores after an outbreak of E. coli food poisoning tied to onions on the fast-food giant’s Quarter Pounder hamburgers. The investments include $65 million that will go directly to the hardest-hit…","McDonalds is investing $100 million to bring customers back to stores after an outbreak of E. coli food poisoning tied to onions on the fast-food giants Quarter Pounder hamburgers. 
The investments … [+1193 chars]","business",0,0,0
2,"Elon Musk's companies are soaring in value - Axios","Musk's devoted considerable time lately to his alliance with Trump — in the meantime, his companies are attracting a deluge of capital.","Elon Musk's businesses with one key exception are ballooning in value.
Why it matters: The richest person in the world has devoted considerable time lately to his newfound alliance with President-el… [+1388 chars]","business",1,1,0
3,"Souring S&P 500 Profit Outlook a Bad Sign for Stock Market Rally - Bloomberg","Wall Street analysts are quickly scaling back their forecasts for Corporate America’s earnings growth over the next year, which could pump the brakes on the blistering stock market rally before long.","Wall Street analysts are quickly scaling back their forecasts for Corporate Americas earnings growth over the next year, which could pump the brakes on the blistering stock market rally before long.… [+318 chars]","business",0,1,0
4,"Nvidia earnings on deck as AI kingpin tightens grip on $1 trillion market - TheStreet","No Description","No Content","business",0,0,0
5,"Gold suffers worst week in 3 years as investors weigh Trump victory - Financial Times","Dollar surge and Trump win brings metal’s rally to a halt","The new FT Digital Edition: today's FT, cover to cover on any device This subscription does not include access to ft.com or the FT App.
<ul><li></li>FT Digital Edition<li>Global news &amp; analysis<… [+86 chars]","business",0,0,0
6,"Sabrina Carpenter Brings Sparkle and Sarcasm — Plus Christina Aguilera — to Los Angeles Show: Concert Review - Variety","Sabrina Carpenter brought sparkle and sarcasm — plus Christina Aguilera — to Los Angeles on her 'Short n' Sweet' tour.","Just past the halfway mark of her first of three Los Angeles shows last night, Sabrina Carpenter cracked a Colgate smile as she arrived at evening’s roulette moment, where she spins a bottle to deter… [+4583 chars]","entertainment",0,0,0
7,"NYC politicians call on Whoopi Goldberg to apologize for saying bakery denied order over politics - The Associated Press","New York City politicians are calling on Whoopi Goldberg to apologize for suggesting on air that a local bakery had declined to make The View co-host a batch of desserts for her birthday because of her political beliefs. Local leaders and supporters joined Ho…","NEW YORK (AP) New York City politicians are calling on Whoopi Goldberg to apologize for suggesting on air that a local bakery had declined to make The View co-host a batch of desserts for her birthda… [+3607 chars]","entertainment",0,0,0
8,"Netflix just got a new Christmas movie and it’s already jumped to No. 1 - Tom's Guide","Stream it now to learn what happens if Frosty the Snowman becomes suddenly hot","Netflix’s new holiday rom-com “Hot Frosty” finally answers the age-old question ""What if Frosty the Snowman was hot? Like, really hot?""
Yes, Netflix’s hottestnew Christmas movie has jumped to No. 1,… [+5246 chars]","entertainment",0,0,0
9,"Eva Longoria Clarifies She Didn’t Leave U.S. “Because Of Trump” - Deadline","After revealing she splits her time between Spain and Mexico City, Eva Longoria clarified that the move was because of work, not Donald Trump's win.","Although Eva Longoria has relocated outside the United States, she didn’t make her decision based on any one politician.
The Golden Globe nominee, who mostly splits her time between Spain and Mexico… [+1733 chars]","entertainment",0,0,0
10,"Elon Musk backs Howard Lutnick as agent for ‘change’ at US Treasury - Financial Times","Tesla boss publicly lobbies Trump to choose Cantor Fitzgerald boss over Scott Bessent in key economic role","The new FT Digital Edition: todays FT, cover to cover on any device. This subscription does not include access to ft.com or the FT App.
<ul><li></li>Global news &amp; analysis<li></li>Expert opinion… [+2640 chars]","general",1,1,0
11,"Biden’s White House stares down a Trump takeover - POLITICO","The White House rushes to get Ukraine and CHIPs funding out the door but faces limits on ""Trump-proofing.""","The final flurry of work has provided a renewed sense of purpose within a White House unmoored by Donald Trumps pending return to power, according to interviews with more than a half-dozen administra… [+6331 chars]","general",0,1,0
12,"Betty White Forever: New stamp will honor the much-beloved ‘Golden Girls’ actor - The Associated Press","The United States Postal Service might have found a way to unite a nation bitterly divided after this month’s election: It’s releasing a Betty White stamp. The beloved actor known for roles in “The Golden Girls,” “The Mary Tyler Moore Show,” “Boston Legal,” a…","The United States Postal Service might have found a way to unite a nation bitterly divided after this months election: Its releasing a Betty White stamp.
The beloved actor known for roles in The Gol… [+1690 chars]","entertainment",0,1,0
13,"South Africa denies illegal miners food and water to force them out - The Washington Post","Officials are blocking access to basic supplies for hundreds of people underground in a northwest mine shaft as part of a crackdown on miners.","South African authorities have been criticized over a controversial tactic to force illegal miners hiding more than a mile underground in the countrys northwest to the surface by cutting off their ac… [+5942 chars]","general",0,1,0
14,"US health officials report 1st case of new form of mpox in a traveler - The Associated Press","Health officials say they have confirmed the first U.S. case of a new form of mpox that was first seen in eastern Congo. Authorities said Saturday the risk to the public is low. The person had traveled to eastern Africa and was treated in California. Official…","NEW YORK (AP) Health officials said Saturday they have confirmed the first U.S. case of a new form of mpox that was first seen in eastern Congo. 
The person had traveled to eastern Africa and was tr… [+2559 chars]","general",0,0,0
15,"Fire engulfs hospital ward in northern India, killing 10 newborn babies - The Associated Press","A fire tore through a neonatal intensive care unit in a hospital in northern India, killing 10 newborn babies and injuring 16 others. The fire occurred late Friday at a hospital in Jhansi city in India’s Uttar Pradesh state. Officials said the blaze spread qu…","LUCKNOW, India (AP) A fire tore through a neonatal intensive care unit in a hospital in northern India, killing 10 newborn babies and injuring 16 others, authorities said.
The fire occurred late Fri… [+2691 chars]","general",0,0,0
16,"How Depression Alters Stress, Health, and Lifespan - Neuroscience News","Depression disrupts the body's stress systems, causing physical health risks like heart disease, diabetes, and stroke, and reducing life expectancy by 7-10 years.","Summary: Depression disrupts the body’s stress systems, causing physical health risks like heart disease, diabetes, and stroke, and reducing life expectancy by 7-10 years. The condition triggers brai… [+4164 chars]","health",0,0,0
17,"US health officials report 1st case of new form of mpox in a traveler - The Associated Press","Health officials say they have confirmed the first U.S. case of a new form of mpox that was first seen in eastern Congo. Authorities said Saturday the risk to the public is low. The person had traveled to eastern Africa and was treated in California. Official…","NEW YORK (AP) Health officials said Saturday they have confirmed the first U.S. case of a new form of mpox that was first seen in eastern Congo. 
The person had traveled to eastern Africa and was tr… [+2559 chars]","health",0,0,0
18,"I Had a Simple Rule for My Kid. I Now Realize What a Hypocrite I Am. - Slate","I was worried about my daughter becoming a device addict—but I might have been the biggest one of all.","I never give my 1-year-old my phone. Im determined to raise a kid who doesnt spend all their downtime on a device. So imagine my surprise when she recently got ahold of mine and started scrolling and… [+9516 chars]","health",0,0,0
19,"NASA’s only visit to Uranus happened during a rare cosmic occurrence - CNN","This week, revisit what you know about Uranus, explore the far side of the moon, rediscover the famed fossil known as Lucy, and meet an otherworldly sea creature.","Editors note: A version of this story appeared in CNNs Wonder Theory science newsletter. To get it in your inbox, sign up for free here.
The answers to the biggest questions in space science what ha… [+5325 chars]","science",0,0,0
20,"Last supermoon of 2024 wows skywatchers around the world with Full Beaver Moon (photos) - Space.com","The Full Beaver Moon of November 2024 put on a gorgeous show in the night sky for photographers worldwide, and we've got the photos to prove it.","The final supermoon of 2024, the Beaver Moon of November, thrilled skywatchers around the world as it ushered in the weekend with a stunning night sky sight.
November's full moon rose on Friday (Nov… [+6973 chars]","science",0,0,0
21,"Scientists Brought Pig Brains Back to Life After Cardiac Arrest With this Organ—And It's Not What You Think - The Daily Galaxy --Great Discoveries Channel","What if death wasn’t the end for the brain? In a stunning experiment, scientists revived pig brains after death—using a surprising ally. Could this discovery rewrite the rules of life and death?","Chinese researchers have succeeded in partially restoring the brain function of pigs an hour after their death, thanks to the unexpected help of their liver. This study could change the way scientist… [+2372 chars]","health",0,0,0
22,"Scientist Says NASA Lander May Have Accidentally Killed Life on Mars - Yahoo! Voices","Astrobiologist Dirk Schulze-Makuch from the Technische Universität Berlin in Germany believes that humans may have unintentionally killed all life on Mars in...","Yahoo is using AI to generate takeaways from this article. This means the info may not always match what's in the article. Reporting mistakes helps us improve the experience.Generate Key Takeaways
A… [+3148 chars]","science",0,0,0
23,"Neuroscientists taught rats to drive tiny cars. They took them out on 'joy rides.' - Livescience.com","Scientists taught rats to drive to a certain destination, but the rodents took a detour, suggesting they enjoy both the journey and the rewarding destination.","We crafted our first rodent car from a plastic cereal container. After trial and error, my colleagues and I found that rats could learn to drive forward by grasping a small wire that acted like a gas… [+9329 chars]","science",0,0,0
24,"Packers sign CB Robert Rochell to active roster - Packers.com","Green Bay places T/G Jordan Morgan on injured reserve","No Content","sports",0,0,0
25,"Patriots activate Christian Barmore for Sunday vs. Rams - NBC Sports","Patriots defensive lineman Christian Barmore is ready to make his 2024 debut on Sunday against the Rams.","Patriots defensive lineman Christian Barmore is ready to make his 2024 debut on Sunday against the Rams.
The Patriots are activating Barmore from the non-football illness list, according to Ian Rapo… [+325 chars]","sports",0,0,0
26,"MLB rumors: Juan Soto meets with another AL East rival, Orioles looking beyond Corbin Burnes - CBS Sports","Here are your hot stove rumors for Saturday, Nov. 16","The 2024-25 Major League Baseball offseason has begun, and that means an almost daily supply of rumors regarding free agency, trades, and the like. With the General Managers' Meetings ongoing, this w… [+2733 chars]","sports",0,1,0
27,"Several Clemson starters out against Pittsburgh - Clemson Football News - TigerNet","Next man up for the Tigers. Clemson's travel roster showed that left tackle Tristan Leigh (ankle) and left guard Marcus Tate did not make the trip for the Tiger","Next man up for the Tigers.
Clemson's travel roster showed that left tackle Tristan Leigh (ankle) and left guard Marcus Tate did not make the trip for the Tigers for Saturday's ACC showdown against … [+849 chars]","sports",1,1,0
28,"Patriots Cut WR Tyquan Thornton - profootballrumors.com","As one of only three squads to carry seven wide receivers for much of the campaign, the Patriots are finally &hellip;","As one of only three squads to carry seven wide receivers for much of the campaign, the Patriots are finally clearing some of their depth. The team has cut wideout Tyquan Thornton, according to ESPN’… [+1383 chars]","sports",0,1,0
29,"Destiny 1 Remastered On The Horizon? Bungie Acknowledges Fan Demand - TheGamePost","With Destiny 1 getting a permanent price drop, fans are calling for a remastered version of the original game. And now, Bungie has acknowledged the demand.","With Destiny 1 getting a permanent price drop, fans are calling for an updated version of the original game. And now, Bungie has acknowledged the demand.
It’s been over a decade since the launch of … [+2906 chars]","technology",0,0,0
30,"NVIDIA GeForce RTX 50 “Blackwell” GPUs To Make “Serious” Impacts In PC Gaming Segment, Witnessing Massive Anticipation By Suppliers - Wccftech","NVIDIA's RTX 50 Blackwell GPUs are expected to make a serious impact over the markets, as suppliers start preparing for the new release.","NVIDIA's GeForce RTX 50 ""Blackwell"" consumer GPUs are expected to seriously impact the markets as suppliers start preparing for the new release.
Team Green's next-gen gaming GPUs might be one of the… [+2549 chars]","technology",0,0,0
32,"In Poker World, They Call What He Did 'the Run' - Newser","Legend has it that Archie Karas turned $50 into $50M, then lost it","Not every poker player makes headlines upon his death, but Archie Karas was no ordinary poker player. As PokerNews recounts, Karas drove to Vegas with $50 to his name in late 1992 and went on a strea… [+1162 chars]","technology",0,1,0
33,"PS5 Consoles, Controllers, and PSVR2 Discounts for Black Friday Seemingly Revealed - Push Square","Not official prices, but as good as","Update: A second Billbil-Kun report has this weekend detailed the sort of discounts Sony is expected to make available across its range of PS5 DualSense controllers for Black Friday, including the Du… [+1811 chars]","technology",0,1,0
34,"Goldman Sachs takes $900mn hit on Northvolt investment - Financial Times","US bank is second-largest shareholder in Swedish battery maker which filed for Chapter 11 bankruptcy this week","Keep abreast of significant corporate, financial and political developments around the world. Stay informed and spot emerging risks and opportunities with independent global reporting, expert comment… [+30 chars]","business",0,0,0
35,"These key 401(k) plan changes are coming in 2025. Here's what savers need to know - CNBC","Starting in 2025, key 401(k) plan changes enacted via Secure 2.0 could make saving for retirement easier. Here's what investors need to know.","As some Americans struggle to save for retirement, key 401(k) plan changes could soon make preparing easier for certain workers, experts say. 
Enacted by Congress in 2022, ""Secure 2.0"" ushered in sw… [+3629 chars]","business",0,0,0
36,"Elon Musk teases potential MSNBC offer: 'How much does it cost?' - Business Insider","No Description","No Content","business",0,0,0
37,"Meta loses ground to Bluesky as users abandon Elon Musk’s X - Financial Times","Social media giant’s Threads app makes changes as smaller competitor to X surges","Get complete digital access
$75 per month
Complete digital access to quality FT journalism with expert analysis from industry leaders. Pay a year upfront and save 20%.","business",0,0,0
38,"Michael Saylor Reveals MicroStrategy Is 'Making $500M A Day' With Bitcoin: 'May Very Well Be The Most Profitable Company In The US Growing The Fastest Right Now' - Benzinga","MicroStrategy Inc. (NASDAQ:MSTR) co-founder Michael Saylor has revealed that the company is minting $500 million a day as Bitcoin (CRYPTO: BTC)","MicroStrategy Inc.MSTR co-founder Michael Saylor has revealed that the company is minting $500 million a day as BitcoinBTC/USDinches closer to $100,000 for the first time in its history.
What Happen… [+2438 chars]","business",0,0,0
39,"Jason Kelce’s wife announces she is pregnant with the couple’s fourth child - The Associated Press","Former Philadelphia Eagles center Jason Kelce's wife is announcing she's pregnant with the couple's fourth child. Kylie Kelce posted a photo on Instagram on Friday of the couple's three young daughters reacting to the news. The oldest daughter, Wyatt, appears…","Former Philadelphia Eagles center Jason Kelces wife announced Friday that shes pregnant with the couples fourth child.
Kylie Kelce posted a photo on Instagram of the couples three young daughters re… [+960 chars]","entertainment",0,0,0
40,"Kanye West sued for allegedly sexually assaulting, strangling ‘America’s Next Top Model’ alum on music video set - Page Six","Model Jenifer “Jenn” An alleges in the complaint obtained by Page Six that the rapper “gagged her” to “emulate force oral sex.”","Kanye West is being accused of inappropriately touching and forcefully gagging a model during a 2010 music video shoot, according to a bombshell new lawsuit filed Friday.
Model Jenifer “Jenn” An, wh… [+4906 chars]","entertainment",0,0,0
41,"‘Wicked’ Seeing $117M Opening, ‘Gladiator II’ Still Conquering $60M – Saturday AM Box Office Update - Deadline","'Wicked' is opening to $117M at the weekend box office, the best ever for a Broadway feature adaptation while 'Gladiator 2' is seeing $60M.","UPDATED, SATURDAY AM: Universal’s Wickedis coming in with a $46.7M Friday plus previews, which has the studio predicting a $117M opening at this point. Paramount‘s Gladiator IIstands at $60M after a … [+14699 chars]","entertainment",0,0,0
42,"The stars of ‘Wicked’ have been changed for good. Former Elphabas and Glindas remember the magic - CNN","“Wicked” actresses share why they love the show, what it’s like to play a singing witch and their thoughts on the new film.","With the premiere of Wicked: Part One, Cynthia Erivo and Ariana Grande join an exclusive club of women who have played two of the most challenging roles in musical theater.
Elphaba and Glinda begin … [+14244 chars]","entertainment",0,0,0
43,"Sammy Hagar Wants Peace With Alex Van Halen: ‘I Will Not Take This to My Grave’ - Rolling Stone","Sammy Hagar reveals that he's written a song with Joe Satriani that pays tribute to Eddie Van Halen.","Earlier this week, Sammy Hagar announced plans to bring his Best of All Worlds show to Las Vegas next year for a residency at Dolby Live at Park MGM. Like last summer, he’ll be joined by bassist Mich… [+19159 chars]","entertainment",0,0,0
44,"‘RHOP’ Star Matthew Byars’ Cause Of Death Confirmed - Deadline","'The Real Housewives of Potomac' star Matthew Byars cause of death has been confirmed.","Matthew Byars, who appeared on Bravo reality show The Real Housewives of Potomac, died by suicide, it has been confirmed. 
The Sun newspaper in the U.S. first reported a statement from Maryland’s Ch… [+1639 chars]","general",0,0,0
45,"UN climate summit on the brink of collapse as vulnerable nations walk out - Financial Times","Germany accuses Saudi Arabia and Russia of trying to block progress on efforts to cut fossil fuel use","Get complete digital access
$75 per month
Complete digital access to quality FT journalism with expert analysis from industry leaders. Pay a year upfront and save 20%.","general",0,1,0
46,"Novak Djokovic hires Andy Murray as new coach - ATP Tour","Novak Djokovic announced on social media Saturday that longtime friend and rival Andy Murray will be his new coach.","No Content","general",0,0,0
47,"Ohio State vs. Indiana live stream, where to watch, TV channel, kickoff time, odds, spread, prediction, pick - CBS Sports","The Buckeyes in Hoosiers square off in what amounts to an elimination game in the race for the Big Ten title","I don't care what they tell you. Nobody in the world except maybe Indiana coach Curt Cignetti looked at the schedule before the season started and said, ""This will be one of the biggest games in the … [+3396 chars]","general",0,0,0
48,"Jason Kelce’s wife announces she is pregnant with the couple’s fourth child - The Associated Press","Former Philadelphia Eagles center Jason Kelce's wife is announcing she's pregnant with the couple's fourth child. Kylie Kelce posted a photo on Instagram on Friday of the couple's three young daughters reacting to the news. The oldest daughter, Wyatt, appears…","Former Philadelphia Eagles center Jason Kelces wife announced Friday that shes pregnant with the couples fourth child.
Kylie Kelce posted a photo on Instagram of the couples three young daughters re… [+960 chars]","general",0,0,0
49,"I fast, juice cleanse and exercise - so why have I been diagnosed with killer colon cancer? - Daily Mail","No Description","No Content","health",0,0,0
50,"Even with access to blockbuster obesity drugs, some people don't lose weight - KSL.com","Why don't weight-loss drugs work for some people? There are many factors.","NEW YORK Unlike scores of people who scrambled for the blockbuster drugs Ozempic and Wegovy to lose weight in recent years, Danielle Griffin had no trouble getting them.
The 38-year-old information … [+4171 chars]","health",0,0,0
51,"Medical Mysteries: Her depression and poor memory had an unusual cause - The Washington Post","A woman’s hospitalization following a suicide attempt in 2018 led to the discovery of an undiscovered condition that had shaped her life for nearly 50 years.","In the throes of one of the worst crises of her life, Deborah Menzies remembers wondering if she was going to find a place to park her car.
Menzies, then 55, took great pride in her years as a legal… [+11993 chars]","health",0,0,0
52,"Astrocytes play a key role in memory - Ars Technica","They’re not neurons, but they help neurons remember things, new research shows.","No Content","health",0,0,0
53,"Weight loss drug users suddenly find themselves wasting more food, study says - WTOP","One in four people taking popular weight loss medications such as Ozempic, Wegovy and Mounjaro found themselves throwing more food in the trash after starting the drugs.","One in four people taking popular weight loss medications such as Ozempic, Wegovy and Mounjaro found themselves throwing more food in the trash after starting the drugs, according to a new study.
Th… [+2346 chars]","health",0,0,0
54,"Hiker Steps into 280-Million-Year-Old Fossilized World in Italian Alps - AOL","No Description","No Content","science",0,0,0
55,"35,000-year-old saber-toothed baby cat mummy still has its fur - CNN","This week, meet a baby saber-toothed cat mummy, see the first image of a star beyond our galaxy, explore an atlas of the human body on a cellular level, and more.","Editors note: A version of this story appeared in CNNs Wonder Theory science newsletter. To get it in your inbox, sign up for free here.
Woolly mammoths, giant sloths and saber-toothed cats were a f… [+5149 chars]","science",0,1,0
56,"A Nearby Supernova Could Finally Solve the Dark Matter Puzzle - SciTechDaily","Researchers believe that observing gamma rays from a supernova could confirm the existence of axions, potentially solving the mystery of dark matter. UC Berkeley scientists suggest that the detection of these particles would revolutionize our understanding of…","Detecting axions via gamma rays from a supernova could unlock the secrets of dark matter, with UC Berkeley researchers pushing for advanced telescopes to ensure we don’t miss this fleeting opportunit… [+10866 chars]","science",0,0,0
