id,source_name,author,title,description,url,urlToImage,publishedAt,content,category
"32","Associated Press","THE ASSOCIATED PRESS","McDonald’s is investing $100 million to bring customers back after E. coli outbreak - The Associated Press","McDonald’s is investing $100 million to bring customers back to stores after an outbreak of E. coli food poisoning tied to onions on the fast-food giant’s Quarter Pounder hamburgers. The investments include $65 million that will go directly to the hardest-hit…","https://apnews.com/articleAPI/mcdonalds-e-coli-investment-franchises-837b91490d833ed17c2a852baacb267e","https://dims.apnews.com/dims4/default/99928d8/2147483647/strip/true/crop/3257x1832+0+169/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F06%2Fd5%2F6d70afcbf07f91872ab8d7293061%2F50917ab551b6428592857c412690f556","2024-11-16 16:27:00","McDonalds is investing $100 million to bring customers back to stores after an outbreak of E. coli food poisoning tied to onions on the fast-food giants Quarter Pounder hamburgers.
The investments … [+1193 chars]","business"
"33","Axios","Nathan Bomey","Elon Musk's companies are soaring in value - Axios","Musk's devoted considerable time lately to his alliance with Trump — in the meantime, his companies are attracting a deluge of capital.","https://www.axios.com/2024/11/15/elon-musk-business-valuations-xai-tesla-spacex","https://images.axios.com/_0XuZOP6aX1laeY6mYRWlA7SDYg=/0x0:1920x1080/1366x768/2024/11/15/1731707550205.jpg","2024-11-16 15:15:41","Elon Musk's businesses with one key exception are ballooning in value.
Why it matters: The richest person in the world has devoted considerable time lately to his newfound alliance with President-el… [+1388 chars]","business"
"34","Bloomberg","Jess Menton","Souring S&P 500 Profit Outlook a Bad Sign for Stock Market Rally - Bloomberg","Wall Street analysts are quickly scaling back their forecasts for Corporate America’s earnings growth over the next year, which could pump the brakes on the blistering stock market rally before long.","https://www.bloomberg.com/news/articleAPIS/2024-11-16/souring-s-p-500-profit-outlook-a-bad-sign-for-stock-market-rally","https://assets.bwbx.io/images/users/iqjWHBFdfxIU/ixo_y6eBq0ms/v1/1200x800.jpg","2024-11-16 14:00:00","Wall Street analysts are quickly scaling back their forecasts for Corporate Americas earnings growth over the next year, which could pump the brakes on the blistering stock market rally before long.
… [+318 chars]","business"
"35","TheStreet","Unknown Author","Nvidia earnings on deck as AI kingpin tightens grip on $1 trillion market - TheStreet","No Description","https://www.thestreet.com/investing/nvidia-earnings-on-deck-as-ai-kingpin-tightens-grip-on-1-trillion-market","","2024-11-16 13:03:00","No Content","business"
"36","Financial Times","Leslie Hook","Gold suffers worst week in 3 years as investors weigh Trump victory - Financial Times","Dollar surge and Trump win brings metal’s rally to a halt","https://www.ft.com/content/760ec80b-68ef-471a-b712-23c4cc16d1ed","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Fb2a89dd6-9051-4112-afa6-8d13f4f9cbc5.jpg?source=next-barrier-page","2024-11-16 13:00:47","The new FT Digital Edition: today's FT, cover to cover on any device This subscription does not include access to ft.com or the FT App.
<ul><li></li>FT Digital Edition<li>Global news &amp; analysis<… [+86 chars]","business"
"37","Variety","Steven J. Horowitz","Sabrina Carpenter Brings Sparkle and Sarcasm — Plus Christina Aguilera — to Los Angeles Show: Concert Review - Variety","Sabrina Carpenter brought sparkle and sarcasm — plus Christina Aguilera — to Los Angeles on her 'Short n' Sweet' tour.","https://variety.com/2024/music/concert-reviews/sabrina-carpenter-christina-aguilera-short-n-sweet-los-angeles-concert-review-1236212219/","https://variety.com/wp-content/uploads/2024/11/GettyImages-1856295066.jpg?w=1000&h=563&crop=1","2024-11-16 20:39:00","Just past the halfway mark of her first of three Los Angeles shows last night, Sabrina Carpenter cracked a Colgate smile as she arrived at evening’s roulette moment, where she spins a bottle to deter… [+4583 chars]","entertainment"
"38","Associated Press","PHILIP MARCELO","NYC politicians call on Whoopi Goldberg to apologize for saying bakery denied order over politics - The Associated Press","New York City politicians are calling on Whoopi Goldberg to apologize for suggesting on air that a local bakery had declined to make The View co-host a batch of desserts for her birthday because of her political beliefs. Local leaders and supporters joined Ho…","https://apnews.com/articleAPI/whoopi-goldberg-staten-island-bakery-birthday-dessert-45b9f1ab9da1783eb436c3db161da19d","https://dims.apnews.com/dims4/default/d86bc45/2147483647/strip/true/crop/3696x2079+0+189/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F2f%2F29%2Fda218b37b373cb5c91e88cccb1b2%2Fa9708340bfb24ae684f8db71d967570b","2024-11-16 18:39:00","NEW YORK (AP) New York City politicians are calling on Whoopi Goldberg to apologize for suggesting on air that a local bakery had declined to make The View co-host a batch of desserts for her birthda… [+3607 chars]","entertainment"
"39","Tom's Guide","Jenna Dorsi","Netflix just got a new Christmas movie and it’s already jumped to No. 1 - Tom's Guide","Stream it now to learn what happens if Frosty the Snowman becomes suddenly hot","https://www.tomsguide.com/entertainment/netflix/netflixs-rom-com-hot-frosty-made-me-melt-dont-miss-this-christmas-movie","https://cdn.mos.cms.futurecdn.net/JmfidiajH7Y9iEbxJDrXdg-1200-80.jpg","2024-11-16 18:15:32","Netflix’s new holiday rom-com “Hot Frosty” finally answers the age-old question "What if Frosty the Snowman was hot? Like, really hot?"
Yes, Netflix’s hottestnew Christmas movie has jumped to No. 1,… [+5246 chars]","entertainment"
"40","Deadline","Glenn Garner","Eva Longoria Clarifies She Didn’t Leave U.S. “Because Of Trump” - Deadline","After revealing she splits her time between Spain and Mexico City, Eva Longoria clarified that the move was because of work, not Donald Trump's win.","http://deadline.com/2024/11/eva-longoria-didnt-leave-us-because-trump-1236178773/","https://deadline.com/wp-content/uploads/2024/02/GettyImages-2001752717-e1730500917503.jpg?w=1024","2024-11-16 18:01:00","Although Eva Longoria has relocated outside the United States, she didn’t make her decision based on any one politician.
The Golden Globe nominee, who mostly splits her time between Spain and Mexico… [+1733 chars]","entertainment"
